ID,Nombre,Categoria,Direccion,Telefono,WhatsApp_Clean,Tipo_Web,URL_Web,Redes_Sociales,Propuesta_LP,Estado,Prioridad,Pitch_Personalizado,Historial_Notas,Fecha_Registro
b1,Restaurante Tabasco - Comida Tradicional Mexicana,Restaurante,"Cra. 99 #20B-40, Fontibon",+57 310 3077085,573103077085,no-web,,WhatsApp: https://wa.me/573103077085,,Pendiente,Tibio,,,2026-09-04
b2,El sazon de las Paisas,Restaurante,"Cl. 71A #90b - 25, Bogota",+57 313 3534064,573133534064,no-web,,WhatsApp: https://wa.me/573133534064,,Pendiente,Tibio,,,2026-09-04
b3,Tranvia Restaurante,Restaurante,"Cra. 103d #8315, Bogota",+57 14314507,5714314507,no-web,,WhatsApp: https://wa.me/5714314507,,Pendiente,Tibio,,,2026-09-04
b4,Restaurante El Fogon De Mi Tierra,Restaurante,"Cra. 71a #63A-08, Bogota",+57 313 3748762,573133748762,no-web,,WhatsApp: https://wa.me/573133748762,,Pendiente,Tibio,,,2026-09-04
b5,Pasion Y Sazon,Restaurante,"Carrera 113 #75-26, Bogota",+57 322 3675640,573223675640,no-web,,WhatsApp: https://wa.me/573223675640,,Pendiente,Tibio,,,2026-09-04
b6,El Rincon del Chicamocha,Restaurante familiar,"Cra. 69 #64F-14, Engativa",+57 322 9071444,573229071444,no-web,,WhatsApp: https://wa.me/573229071444,,Pendiente,Tibio,,,2026-09-04
b7,Restaurante L'Escoffier,Restaurante,"Cra. 69a #6520, Bogota",+57 324 6238800,573246238800,no-web,,WhatsApp: https://wa.me/573246238800,,Pendiente,Tibio,,,2026-09-04
b8,La Bolonesa cafe Ristorante,Restaurante italiano,"Cl 72 #99-4, Bogota",+57 310 7933967,573107933967,no-web,,WhatsApp: https://wa.me/573107933967,https://lp-la-bolonesa.vercel.app,Pendiente,Tibio,,,2026-09-04
b9,Vestidos de Baño Bogotá,Vestidos de Baño / Ropa de Playa,"Restrepo, Bogotá",+57 310 788 1548,573107881548,social-only,https://instagram.com/vestidos_banobogota,WhatsApp: https://wa.me/573107881548 | Instagram: https://instagram.com/vestidos_banobogota,,Pendiente,Tibio,,,2026-09-04
b10,Fajas y Moda,Ropa Femenina / Fajas,"Calle 140 No. 11-58, CC La Puerta del Sol, Cedritos",+57 300 535 4876,573005354876,social-only,https://instagram.com/fajasymoda_bogota,WhatsApp: https://wa.me/573005354876 | Instagram: https://instagram.com/fajasymoda_bogota,,Pendiente,Tibio,,,2026-09-04
b11,Tienda Don Juan,Tienda de alimentacion,"Cra. 73a, Zona 6, Bogota",+57 12524691,5712524691,no-web,,WhatsApp: https://wa.me/5712524691,,Pendiente,Tibio,,,2026-09-04
b12,Tienda de Barrio,Tienda de alimentacion,"Cl. 64F #73, Zona 6",+57 310 8714075,573108714075,no-web,,WhatsApp: https://wa.me/573108714075,,Pendiente,Tibio,,,2026-09-04
